FIPS,Name,Name_st,STATEFP,PLACEFP,TPOP,rank,TPOP_CHG10YR,TPOP_PCHG10YR,WHITE_NH,BLACK_NH,AMIND,ASIAN,PACIFIC,OTHER,MULTI,HISPANIC,WHITE_NH_PCHG10YR,BLACK_NH_PCHG10YR,AMIND_PCHG10YR,ASIAN_PCHG10YR,PACIFIC_PCHG10YR,OTHER_PCHG10YR,MULTI_PCHG10YR,HISPANIC_PCHG10YR
3651000,New York city,"New York City, New York",36,51000,8804190,1,629414.7009,7.699474026,30.89274539,20.18233364,0.217464639,15.60054928,0.03750487,1.376435538,3.407002802,28.28596384,-0.106873865,-4.530529978,9.864922885,33.60524544,18.13953488,109.5164876,101.7741002,6.605485002
644000,Los Angeles city,"Los Angeles City, California",6,44000,3898747,2,106152.5621,2.798943148,28.8824076,8.27324779,0.169644247,11.65977172,0.117294095,0.675883816,3.283824265,46.93792647,3.606299437,-7.149584468,0.381257478,8.185977969,6.347851196,118.559646,67.68759502,-0.482560936
1714000,Chicago city,"Chicago City, Illinois",17,14000,2746388,3,50771.6674,1.883490124,31.44573891,28.67588265,0.121322989,6.912970782,0.019261663,0.420042616,2.564932559,29.83984783,1.039202584,-9.713420083,-18.67219917,31.02160633,-5.066340674,172.9122309,95.94858678,5.219978048
4835000,Houston city,"Houston City, Texas",48,35000,2304580,4,143032.5549,6.617136961,23.69147524,22.10723863,0.159204714,7.16785705,0.04165618,0.515668799,2.342596048,43.97430334,-2.605680833,2.169354385,-0.249933386,26.63003651,21.68931903,177.4812722,128.1598335,7.876611746
455000,Phoenix city,"Phoenix City, Arizona",4,55000,1608139,5,161058.1944,11.12986875,41.77194882,7.370444968,1.60639099,3.979506747,0.196562611,0.499024027,3.437016328,41.13910551,-0.178906536,36.35854351,10.60298673,45.59873459,53.40893016,257.5719621,122.0061164,11.99997803
4260000,Philadelphia city,"Philadelphia City, Pennsylvania",42,60000,1603797,6,77800.86682,5.098365921,34.34524444,38.27385885,0.161865872,8.255907699,0.036101826,0.71199784,3.357968621,14.85705485,-2.088612745,-4.726180901,-25.78615158,38.61681689,26.69584245,178.1729598,92.74081249,27.00626416
4865000,San Antonio city,"San Antonio City, Texas",48,65000,1434625,7,107317.1409,8.085324002,23.40771979,6.538991026,0.216990503,3.170933171,0.109436264,0.385118062,2.320676135,63.85013505,-5.057672396,13.80396318,12.35908202,48.81696907,43.96117288,163.4236414,117.5325952,9.134200407
666000,San Diego city,"San Diego City, California",6,66000,1386932,8,79640.5926,6.092030602,40.74662637,5.590901356,0.230725082,17.55226644,0.352360462,0.591809836,5.280936628,29.65437383,-4.160274367,-6.00348337,-9.732171338,19.13648985,-5.618844274,149.2585755,71.06860057,9.392974025
4819000,Dallas city,"Dallas City, Texas",48,19000,1304379,9,106660.8275,8.905335992,28.08945866,22.90469258,0.224857959,3.66611238,0.035112494,0.382940848,2.441161656,42.25566342,6.128202524,1.580271302,-7.333155102,42.29666992,47.27984053,173.8017092,160.3215226,8.664007347
668000,San Jose city,"San Jose City, California",6,68000,1013240,10,61624.78161,6.475808753,23.30099483,2.706367692,0.189589831,38.19361652,0.34147882,0.47451739,3.580099483,31.21333544,-13.20964427,-0.496558982,-15.25381795,28.68258489,-1.921341341,162.7311713,39.95397181,-0.466705268
4805000,Austin city,"Austin City, Texas",48,5000,961855,11,159039.1001,19.81015824,47.09587204,6.861949046,0.20813948,8.925773635,0.054893929,0.503298314,3.866175255,32.4838983,15.0286563,7.727209259,-0.565532932,71.32305785,30.41198412,232.193515,166.0584581,11.67863789
1235000,Jacksonville city,"Jacksonville City, Florida",12,35000,949611,12,127835.2893,15.55598293,47.78746245,29.94152342,0.231989731,5.035851522,0.098777289,0.697443479,4.614731716,11.59222039,0.281815385,14.87325487,-18.01265352,37.69316465,40.41916168,239.8040999,140.4737803,73.39939885
4827000,Fort Worth city,"Fort Worth City, Texas",48,27000,918915,13,174475.0839,23.43709414,36.63265917,19.213529,0.319289597,5.113748279,0.107953402,0.380666329,3.426323436,34.80583079,8.044378327,28.67127865,17.61342703,72.49733063,60.48832077,251.4664038,176.6606897,26.44974198
3918000,Columbus city,"Columbus City, Ohio",39,18000,905748,14,118423.8921,15.0413141,51.96864912,28.32012878,0.180182567,6.175227547,0.035881945,0.592769733,4.9789787,7.748181613,0.763469934,17.97025039,-0.6097167,76.08083442,-29.80135017,164.4757644,100.6299995,58.1585763
1836003,Indianapolis city (balance),"Indianapolis City (Balance), Indiana",18,36003,887642,15,67076.76693,8.174458803,50.07694544,27.6326492,0.183294617,4.234590071,0.037289808,0.556530673,4.18547117,13.09322903,-7.582886222,9.929150079,-7.557329905,120.4034644,20.79865722,132.6849243,107.8543603,50.1961775
3712000,Charlotte city,"Charlotte City, North Carolina",37,12000,874579,16,138551.9406,18.82429984,39.71773848,32.49632109,0.248919766,7.022807545,0.048823491,0.643966983,3.504543329,16.31687932,4.78098874,12.10090619,-3.477285179,69.55845096,-3.226809564,184.5245888,126.8554219,47.76292682
667000,San Francisco city,"San Francisco City, California",6,67000,873965,17,68755.31481,8.53880872,39.05259364,5.157071507,0.179641061,33.6649637,0.371181912,0.726230455,5.199979404,15.64833832,1.142873703,-3.644645995,-14.11378556,10.73855302,3.753409064,154.4907779,74.26557404,12.31238959
